Rank	Russian	English
5882	суббота	Saturday
5883	неудачный	unsuccessful, poor, unfortunate, lame, unhappy
5884	неотступно	
5885	завлечь	entice, lure away, seduce
5886	отравить	poison, envenom
5887	запахивать	plough, plough in, close
5888	срамить	shame, put to shame
5889	выкрикивать	scream out, yell, call out
5890	женишок	
5891	плясать	dance, do folk dancing
5892	мерзко	
5893	сперва	at first, firstly
5894	роскошный	luxurious, sumptuous, luxuriant, splendid
5895	заманивание	
5896	выносить	bear, mature, nurture; take sth away
5897	доверчиво	
5898	чопорный	stiff, prim, stand-offish
5899	подписка	subscription, engagement, written undertaking
5900	паровик	boiler, steam-engine
5901	передвижение	movement, travel
5902	неверно	it is not true, incorrectly
5903	недостать	
5904	весы	balance, scales, weighing-machine, Libra
5905	багаж	luggage, baggage
5906	выпрямляться	become straight, stand erect, draw oneself up
5907	оживленность	
5908	снова	again
5909	наружу	outside
5910	обхватить	embrace, grapple, clasp, encompass
5911	притянуть	drag, pull, attract, summon
5912	подхватывать	catch, pick up, catch up
5913	дружок	pal, my dear
5914	порадоваться	be happy for a while
5915	труп	dead body, corpse, carcass
5916	нервно	nervously
5917	отцеплять	unhook, uncouple
5918	обдуманно	deliberately, after careful consideration
5919	смягчаться	soften, become soft, grow softer, relax, relent, unbend mild
5920	отчужденность	estrangement
5921	восьмилетний	of eight years, eight-year, of eight, eight-year-old
5922	тета	
5923	оборка	frill, flounce
5924	прислониться	to lean
5925	отрывать	tear off, tear away, rip off
5926	состояться	take place
5927	перевесить	
5928	перепутать	confuse
5929	шевельнуться	stir; move
5930	знаменитость	celebrity
5931	пудра	powder
5932	нестись	lay eggs; rush, hurry
5933	равномерный	even, uniform
5934	штатский	civil, civilian
5935	височек	
5936	изливать	pour out / give vent
5937	посторониться	avoid, shun
5938	безбородый	beardless
5939	тюлевый	tulle, of tulle
5940	розетка	rosette, jam dish; socket
5941	тюль	
5942	роза	rose, rose-bush, rosace, rose window
5943	завернуться	
5944	грациозно	gracefully
5945	теснить	press, crowd, squeeze, be too tight
5946	кружевной	Adjective of кружево, lacy
5947	порваться	break off, be torn
5948	обвить	wind, twine, entwine
5949	медальон	medallion, locket
5950	бальный	Adjective of бал
5951	дирижер	conductor, band-master
5952	церемониймейстер	
5953	пускаться	start, set out
5954	дальнозоркий	long-sighted, far-sighted
5955	запыхаться	be out of breath, puff and pant
5956	лавировать	tack, manoeuvre
5957	слоновый	elephantine
5958	обшить	
5959	жемчуг	pearl
5960	поворотить	turn
5961	беглый	fluent, quick, superficial, cursory, unstable, fugitive, runaway
5962	одобрительный	approving
5963	волк	wolf
5964	забавно	it is fun, amusingly, in an amusing way
5965	описывать	describe, depict, portray, inventory, distrain, circumscribe
5966	сорокалетний	of forty years, forty-year, of forty, forty-year-old man
5967	сжиматься	shrink, contract, compress, clench
5968	любование	
5969	расставлять	place, arrange, move apart, let out
5970	бессильно	
5971	свершиться	be done, be in progress, come true
5972	оборванный	ragged, torn
5973	презренный	contemptible, despicable
5974	строгость	strictness, severity, stringency, austerity, strong measures
5975	злость	malice, spite, ill-naturedness, fury; kızgınlık, öfke, hırs
5976	избить	beat unmercifully
5977	старшина	foreman, sergeant-major, master sergeant, petty officer
5978	одиннадцатый	eleventh
5979	тринадцатый	thirteenth
5980	покашливание	
5981	рябоватый	speckled
5982	драть	tear, tear up, tear to pieces, strip off, tear off, fleece, irritate, flog, thrash, give a flogging
5983	поужинать	поу'жинать - to dine
5984	болезненность	sickliness, morbidness, painfulness
5985	засветиться	light up
5986	судорожный	convulsive, spasmodic
5987	неумение	inability, lack of skill
5988	киевский	Kyiv, related to Kyiv
5989	обежать	run, call, look in, see, call on, everybody, run round, run past, run round to see, visit all, outrun
5990	брусок	whetstone, hone, bar
5991	бечевка	string, twine, pack-thread
5992	якорь	anchor, armature, rotor
5993	тягость	
5994	слесарный	
5995	вранье	fib, lies, nonsense, rot
5996	самообманывание	
5997	опростать	empty, remove the contents
5998	пережевывать	masticate, repeat over and over again
5999	дернуть	pull, tug, pull out, move sharply, jerk, worry, pull about, pester
6000	классный	first-class, top-class; classy
6001	внутренно	
6002	приставать	stick, adhere, join; bother, pester, badger, importune
6003	прибить	
6004	бессмыслица	nonsense, absurdity
6005	мешаться	meddle, interfere, become confused
6006	неяркий	pale, soft, softened, subdued
6007	сбруя	harness
6008	отелиться	
6009	тулуп	sheepskin coat
6010	надорвать	tear slightly, overstrain, overtax
6011	отнестись	treat sth somehow, relate to sth somehow, take sth somehow
6012	переделка	alteration
6013	легавый	police spy, informer
6014	сука	bitch
6015	отцовский	father's; of father
6016	даться	
6017	гиря	weight, dumb-bell
6018	выстроить	build
6019	сирень	lilac
6020	навозный	Adjective of навоз
6021	голландка	Dutchwoman, cow, hen, of Dutch breed
6022	священный	sacred, holy
6023	болтать	chat; stir
6024	самодовольство	self-satisfaction, complacency, smugness
6025	подсыпать	add, pour
6026	павино	
6027	ь	
6028	переварить	digest
6029	сызмальства	
6030	оглядеться	glance back, look round, have a look round
6031	подушечка	pincushion, bon-bon
6032	укутывать	wrap up, muffle
6033	топка	heating, stocking, fire-chamber, furnace, fire-box, melting
6034	сумочка	purse, small bag, handbag, fancy-bag
6035	читаться	read
6036	налипать	stick, adhere
6037	тряска	shaking, jolting
6038	постукивание	
6039	полумрак	semi-darkness, shade
6040	читаемый	
6041	отражение	reflection, reverberation, repulse, parry, warding off
6042	героиня	heroine; female hero
6043	неслышный	inaudible
6044	леди	lady
6045	пересаживаться	take another seat, change places, exchange seats
6046	колышек	peg, tent-peg
6047	забытье	unconsciousness, half-conscious state, drowsiness
6048	воздерживаться	abstain, refrain, decline, forbear
6049	пелерина	pelerine, cape
6050	застучать	begin to knock, rap
6051	ослепить	blind, dazzle
6052	провалиться	fail
6053	окутать	wrap, cloak, shroud
6054	налетать	fly, come flying, fall, swoop down, rush, bump, collide, get up, have flown, have covered
6055	порыв	impulse, gust, rush, fit, burst
6056	молоток	hammer
6057	повсюду	everywhere, far and wide
6058	зареветь	begin to howl
6059	всматриваться	to peer, to scrutinize
6060	обступить	beset, surround
6061	медлительный	sluggish, slow person
6062	непоколебимый	firm, steadfast, unshakeable, unflagging, unflinching
6063	гримасничать	grimace
6064	давление	pressure
6065	самоуверенный	self-confident, self-opinionated, self-assured
6066	оживлять	revive, enliven, vivify, animate, brighten up
6067	проницательность	perspicacity, insight, acumen
6068	наклоняться	stoop, bend
6069	наткнуться	run, stumble, come
6070	добежать	run so far
6071	кудри	curls
6072	козни	intrigues, machinations, crafty designs
6073	беспричинный	causeless, groundless, motiveless
6074	подвергнуться	to undergo, to be subjected to
6075	незачем	no need, it is useless
6076	подписать	sign, add, subscribe
6077	департамент	department
6078	аккуратность	exactness, punctuality, carefulness, painstakingness, conscientiousness
6079	раздосадовать	vex
6080	модистка	milliner, modiste
6081	извинять	excuse, pardon
6082	богословский	theological
6083	бытность	
6084	лепет	babble
6085	злодей	villain, miscreant, malefactor
6086	денщик	batman, striker
6087	полушутливый	
6088	превосходно	perfectly; excellent, first-rate
6089	беззаботный	light-hearted, careless, carefree
6090	мохнатый	hairy, shaggy
6091	посол	ambassador, salting
6092	набрать	dial; gain, accumulate, put on
6093	закатываться	set, wane, decline, roll, go off, head
6094	консилиум	conference of specialist doctors
6095	стыдливость	diffidence, modesty, bashfulness, shyness
6096	покашливать	have a slight cough, cough
6097	объезжать	drive around, ride around
6098	удаление	sending away, removal, ablation
6099	наполниться	
6100	ваза	vase, bowl
6101	разрешать	allow, permit, authorize; resolve, settle
6102	проницательный	perspicacious, acute, shrewd, astute
6103	долинька	
6104	неблагородный	ignoble, base
6105	молодчик	swell, cut-throats
6106	франт	dandy
6107	шептать	whisper
6108	нападение	attack, assault, aggression, forwards, the forward line
6109	запрещать	forbid, prohibit, ban
6110	розовенький	
6111	куколка	dolly, chrysalis, pupa
6112	суровый	severe, stern, inclement, rigorous, unbleached, brown
6113	пряжка	buckle, clasp
6114	горячка	fever, rush, feverish haste
6115	спрятаться	hide
6116	успешно	successfully, well
6117	замяться	falter, become confused, stop short
6118	упросить	entreat, beg, beseech, prevail
6119	настоять	insist
6120	шестеро	six
6121	разъединить	separate, part, disjoin, disconnect, break
6122	набожный	devout, pious
6123	правительственный	governmental, government
6124	принадлежащий	
6125	преследование	pursuit, chase, persecution, victimization
6126	следование	movement
6127	пристать	befit, suit
6128	вовлечь	to draw in
6129	величественный	majestic, grand, sublime
6130	мирить	reconcile
6131	миротворство	
6132	спастись	
6133	мамзель	
6134	чета	couple, pair
6135	советница	
6136	подвергаться	undergo
6137	дерзость	impudence, impertinence, insolence, cheek, sauce, rudeness, daring, boldness, audacity
6138	лиф	bodice
6139	замешать	involve, get mixed up, entangle, mix
6140	кедровый	cedar
6141	полгода	half a year, six months
6142	нездоровье	ill health, indisposition
6143	разболеться	to hurt badly
6144	уморительный	extremely funny, hilarious
6145	беззвучно	silently
6146	фарфор	china, porcelain
6147	забавный	amusing, funny
6148	вышивать	embroider
6149	сокровище	treasure
6150	банкир	banker
6151	эффект	effect, effects
6152	переслать	send, remit, forward
6153	кончать	finish, end; ejaculate, cum, have an orgasm
6154	буфф	buffo
6155	приподниматься	raise oneself, sit up
6156	наклонение	inclination, mood
6157	миссионер	missionary
6158	замотаться	wind round, be all in, be exhausted
6159	выводиться	become extinct, go out of use, fall into disuse, come out, hatch
6160	дьячок	sexton
6161	точность	exactness, precision, accuracy, punctuality
6162	кожан	
6163	звучный	sonorous
6164	отбросить	throw off, cast away, hurl back, throw back, thrust back, give up, reject, discard
6165	всходить	mount, ascend, rise, sprout
6166	просыпаться	wake up, awake; spill, get spilled
6167	броня	armour, armour-plating
6168	неестественный	unnatural, affected
6169	легкомыслие	lightness, light-mindedness, thoughtlightness, flippancy, levity
6170	отклонить	deflect, decline, turn down
6171	противопоставлять	oppose, contrast, set off
6172	нагота	nudity, nakedness
6173	бросаться	throw oneself, rush, throw at each other, disdain
6174	вступление	entry, joining, introduction, prelude, preamble
6175	неточный	inaccurate, inexact
6176	единый	united, common, indivisible
6177	застилаться	become dim, dim
6178	растение	plant
6179	февраль	February
6180	бродить	ramble, wander, roam, ferment
6181	градус	degree( temperature )
6182	горка	hill, hillock, steep climb, cabinet
6183	наутро	the next morning, on the morrow
6184	подернуть	cover
6185	смородина	currants, currant
6186	спиртовой	spirit, spirituous
6187	загудеть	
6188	залиться	
6189	жнивье	stubble, stubble-field
6190	чибис	lapwing, pewit
6191	неубраться	
6192	перелинять	
6193	заиграть	begin to play, strike up a tune, begin to sparkle
6194	режущий	cutting, sharp
6195	разрастись	grow, spread, grow thick, bush out
6196	мычать	low, moo, bellow, be inarticulate, mumble
6197	пастух	herdsman, cowboy, shepherd
6198	скотница	cattle-farm worker, farmyard worker, farmyard
6199	годовой	annual, yearly
6200	поломать	break
6201	наряду	alongside
6202	чинить	repair, mend, point, sharpen, cause, put in the way
6203	неряшество	
6204	амбар	barn, granary, warehouse, storehouse
6205	обмывать	wash, bathe
6206	оседлать	straddle, override
6207	колпик	
6208	седлать	saddle
6209	возка	carriage
6210	стихийный	elemental, spontaneous
6211	противопоставляться	
6212	веселеть	cheer up
6213	лошадка	gee-gee, hobby-gorse, rocking-horse
6214	лужа	puddle, pool
6215	впивать	absorb, imbibe
6216	кора	crust, cortex, rind, bark
6217	раскинуться	spread out, stretch out, stretch far away, sprawl
6218	крестьянский	peasantish
6219	топтать	trample down, make dirty
6220	согнать	drive away, drive together
6221	линия	line
6222	перерезать	cut, cut off, break, kill, slaughter
6223	межа	boundary path
6224	рубеж	boundary, border, line
6225	пашня	ploughed field, arable land
6226	размять	knead, mash
6227	слежаться	
6228	рассекать	cut, cleave, slash
6229	затянуть	tighten, tighten up
6230	непросеянный	unsifted, unbolted
6231	набирать	gather, collect, take, recruit, set up, compose
6232	севалка	
6233	метка	marking, mark, sign
6234	осминник	
6235	отличить	tell a difference
6236	всход	
6237	отжить	
6238	вязнуть	stick
6239	караульщик	
6240	рысью	at a trot
6241	колокольчик	handbell, bell, bluebell, campanula
6242	объятие	embrace, arms
6243	ямщик	coachman
6244	таинство	sacrament
6245	желательный	desirable
6246	окружающие	
6247	соленый	salt, salty, salted
6248	пирожковый	snack-bar serving patties
6249	грибок	fungus, mushroom, wooden umbrella
6250	курица	hen, chicken
6251	долгуша	
6252	речка	small river, brook, rivulet
6253	осинник	
6254	мшистый	mossy, moss-grown
6255	полянка	meadow, glade, clearing
6256	прислонить	lean, rest
6257	надутый	haughty, puffed up, sulky, inflated
6258	извилистый	sinuous, tortuous, twisting, winding, meandering
6259	щебетать	twitter, chirp, chatter, prattle
6260	расстилаться	spread
6261	кукушка	cuckoo, small steam locomotive
6262	уголь	coal
6263	чик	
6264	взводить	cock, impute, saddle
6265	протяжный	long drawn-out, drawling
6266	голосок	
6267	самец	male, he-, buck, dog, bull, cock
6268	трепать	scutch, swingle, pull about, blow about, flutter, tousle, wear out, fray, tear, pat
6269	шлепнуться	tumble, fall with a plop, plop down
6270	заряжать	load, charge
6271	шш	
6272	налететь	fly in, drift in
6273	ласточка	swallow
6274	переливаться	flow somewhere else, overflow, run over, flow, run, play, modulate
6275	летать	fly, flutter - multi way
6276	чаща	thicket
6277	пригибать	bend down, bow
6278	леса	scaffold, falsework, fishing-line
6279	счесть	consider, deem, find, think
6280	гуж	tug
6281	сыта	
6282	подпоясать	belt, gird, girdle
6283	бритый	shaven
6284	вытереть	wipe, dry, wipe dry
6285	осмелиться	dare
6286	овчинка	
6287	выделка	manufacture, make, embossing
6288	повидаться	see, meet, see each other
6289	торговать	deal, trade, sell, be engaged in commerce, bargain
6290	воровать	steal, be a thief, pilfer, filch, pinch
6291	торговаться	bargain, haggle, wrangle, argue
6292	жесткий	hard, tough, rigid, stiff, strict
6293	ребячество	childishness
6294	кожаный	leather
6295	придираться	find fault, cavil, carp, nag, pick, seize
6296	слияние	confluence, junction, blending, merging, amalgamation, merger
6297	обижать	offend, harm, treat badly
6298	корка	crust, scab, rind, peel
6299	развертывать	unroll, unwind, unfold, unwrap, show, display, develop, deploy, extend, expand, establish, set up, turn, slew
6300	зевота	yawning
6301	поколение	generation
6302	дарование	gift, talent
6303	двугривенный	twenty-copeck coin
6304	поутру	in the morning
6305	жизненный	vital
6306	товарищество	comradeship, association, company
6307	выставленность	
6308	оборот	turn, revolution, rotation, turnover, circulation, back, the other side, the reverse
6309	пожилой	elderly
6310	высокопоставленный	high, of high rank, of high standing
6311	порочный	vicious, depraved, wanton, faulty, fallacious
6312	офицерский	Adjective of офицер
6313	записаться	To enroll in
6314	кобыла	mare
6315	мучной	Adjective of мука
6316	горячее	first course
6317	отирать	wipe, wipe dry
6318	херес	sherry
6319	рюмочка	liqueur-glass
6320	неразлучный	inseparable
6321	голень	shin, shank
6322	рейтузы	breeches, riding-breeches, pantaloons, long pants
6323	кутила	debauchee, fast liver
6324	сплетня	gossip, tittle-tattle, piece of scandal, scandal
6325	взлохматить	tousle, ruffle
6326	запеть	begin to sing
6327	указательный	indicating, indicatory
6328	врать	lie, tell lies
6329	погребальный	funeral, funereal, sepulchral, obsequial
6330	марш	march, flight of stairs
6331	надвинуть	
6332	клочок	scrap
6333	неумелый	clumsy, unskilful
6334	конский	Adjective of конь
6335	мак	poppy, poppy-seed
6336	безукоризненный	irreproachable, impeccable
6337	подпруга	girth, belly-band
6338	поджарый	wiry, lean, sinewy
6339	скашивать	now, squint, bevel, slope
6340	потряхивать	shake, jolt
6341	загривок	withers, nape, back of the neck
6342	перекинуться	
6343	грива	mane
6344	расстраиваться	be upset; fall apart
6345	грязно	it is dirty, dirtily, untidily
6346	непродолжительный	short duration
6347	рысить	trot
6348	пройда	
6349	врасплох	unawares, by surprise
6350	отлогий	sloping
6351	вопрошать	inquire, question
6352	неровность	unevenness, roughness, unequality
6353	испытующий	searching
6354	неприязненный	hostile, inimical, unfriendly
6355	компас	compass
6356	отступление	retreat, deviation, digression
6357	балконный	Adjective of балкон
6358	рвать	rip, tear; pick, pull out
6359	благодарно	
6360	неискренний	insincere
6361	наводить	direct, bring, aim, cover, coat
6362	насмешливость	
6363	предупреждать	to warn, let know beforehand; to forestall, anticipate
6364	гражданский	civil, civilian
6365	добавить	add
6366	порывисто	
6367	растревожить	alarm, agitate
6368	шоссе	highway, macadam road
6369	двухверстный	
6370	атмосфера	atmosphere
6371	попона	horse-cloth
6372	ничей	draw, drawn game
6373	кавалергард	
6374	лейба	
6375	гусар	hussar
6376	тесниться	crowd, be herded, cluster, jostle one another, be squeezed, sit close
6377	кавалергардский	
6378	потемнеть	darken, be visible, loom
6379	развлечься	HAVE FUN
6380	эксельбант	
6381	блистать	shine, be conspicuous
6382	лопоухий	lop-eared
6383	достаться	to get
6384	покоситься	sink to one side, be lop-sided
6385	гнедой	bay
6386	уздцы	
6387	фура	tractor trailer, waggon
6388	стремить	to seek
6389	запрудить	dam, dike, block up, fill to overflowing
6390	обогнать	outrun, outstrip, outdistance, leave behind, pass, overtake
6391	проскакать	gallop
6392	ирландский	Irish
6393	всадник	rider, horseman
6394	близиться	draw near, approach
6395	полететь	start to fly, fall, go headlong
6396	кошка	cat, grapnel, drag, climbing-irons
6397	понестись	rush off, dash off, tear along, tear off
6398	дистанция	distance, range, railway division
6399	взмахнуть	flap, wave, strike, make strokes
6400	поощрение	encouragement
6401	наддать	
6402	поскок	
6403	скок	gallop
6404	нерешимость	
6405	канавка	
6406	говорящий	speaking
6407	фельдшер	medical attendant
6408	зимний	Adjective of зима, wintry
6409	соседство	neighbourhood, vicinity
6410	бетти	
6411	расписание	time-table, schedule
6412	распределение	distribution, assessment, assignment
6413	будничный	workaday, everyday
6414	печень	liver
6415	натянуть	stretch, draw, pull on
6416	добросовестность	honesty, conscientiousness
6417	бант	bow
6418	разлучать	separate, part, sever
6419	некуда	nowhere
6420	кузов	basket, body
6421	штиблета	
6422	бой	beating, breakage; battle, combat, engagement
6423	цирк	circus
6424	столпиться	crowd
6425	загородить	enclose, shut in, fence in, bar, block up, obstruct, barricade
6426	отвезти	take away, drive
6427	склонный	tend to
6428	приподняться	to raise oneself
6429	неподвижность	immobility
6430	кристаллизация	crystallization
6431	энергичный	energetic, vigorous
6432	швед	Swede
6433	необъяснимый	inexplicable, unaccountable
6434	уводить	take away, lead away, walk off, withdraw, carry off, lift
6435	недружелюбный	unfriendly
6436	ненастный	rainy, bad, foul, inclement
6437	слепой	blind
6438	гордо	proudly
6439	нагнать	catch up, get current; gain on, catch up
6440	срам	shame
6441	жою	
6442	аккомпанировать	accompany
6443	чувствительный	sensible, apprehensible, perceptible, felt, painful, sensitive, tender, susceptible, sentimental
6444	шаль	shawl
6445	инстинктивный	instinctive
6446	всенощный	
6447	текст	text, words
6448	людской	human
6449	подметить	notice
6450	прилагать	apply, exert
6451	ти	
6452	утешитель	comforter, consoler
6453	впадать	fall, flow, lapse, sink, sink in, verge on, border upon
6454	таить	hide, conceal
6455	постыдно	
6456	потонуть	sink, go down, drown, be lost
6457	крахмалить	starch
6458	пиво	beer
6459	плачевный	lamentable, deplorable, sad
6460	удостоить	confer, award, favour, honour, vouchsafe, deign
6461	закашляться	have a fit of coughing
6462	аристократия	aristocracy, nobility
6463	слечь	
6464	подчиниться	obey
6465	безвозвратно	irretrievably, irrevocably
6466	безответный	unreciprocated, unrequited, meek, mild
6467	каштан	chestnut, chestnut-tree
6468	чернослив	prunes
6469	подсмеиваться	laugh, make fun
6470	бездна	abyss, chasm, a huge number, a heap
6471	дурхлаухта	
6472	посердиться	
6473	стесняться	feel shy, be ashamed, crowd, restrict oneself
6474	торопить	hurry, hasten, precipitate
6475	обманщица	deceiver, cheat, fraud, trickster, impostor
6476	предсказание	prophecy, prediction, prognostication, forecast
6477	май	May
6478	ломаться	break, crack, pose, mince, put on airs, be extremely affected, make difficulties
6479	всосать	suck in, absorb
6480	кротость	gentleness, meekness, moldness
6481	беспечность	unconcerned, happy-go-lucky, untroubled, carefree
6482	советоваться	consult, ask advice, talk things over, take counsel
6483	побеждать	win, triumph, prevail; defeat, vanquish, overcome
6484	шахматный	chess
6485	навалить	
6486	резец	cutter, cutting tool, chisel, incisor, cutting tooth
6487	выдумка	fictitious idea, device, inventiveness, invention, fiction, fable, fib
6488	забежать	come by, call on, drop in; reach by running, run to
6489	меткий	well-aimed, accurate, neat, apt
6490	кабриолет	cabriolet
6491	раскидать	scatter, stretch out, spread, pitch, set up
6492	неровно	
6493	щавельник	
6494	росистый	dewy
6495	пестреть	be gay
6496	желтеть	turn yellow, show yellow
6497	изрезанный	broken, indented
6498	сосчитать	
6499	окунь	perch
6500	мягко	softly, mildly, gently
6501	спица	knitting needle, spoke
6502	шелковистый	silky
6503	заливное	
6504	поперек	across
6505	доскакать	hop so far, reach hopping, hop, gallop, reach at a gallop
6506	ловиться	
6507	пошататься	
6508	невежество	ignorance
6509	писарь	clerk
6510	дилемма	dilemma
6511	врачебный	medical
6512	квадратный	square
6513	медицинский	medical
6514	перекинуть	throw
6515	грамотный	literate, grammatical, competent, showing sufficient erudition
6516	ет	
6517	логически	
6518	двигатель	motor, engine, mover
6519	ветчина	ham
6520	палата	chamber, house, ward, palace; hospital room
6521	натыкать	
6522	чутье	scent, flair
6523	замотать	shake, begin to shake
6524	отвязать	untie, unfasten, unbind, untether, unbend
6525	приниматься	begin, start, set, strike take root, take
6526	выкосить	
6527	раздумье	meditation, thoughtful mood, hesitation
6528	лафит	
6529	индюшка	turkey
6530	сереть	grey, show grey
6531	овчинный	Adjective of овчина
6532	неладно	
6533	пятка	heel
6534	ладный	well-knit, well-formed
6535	мах	a single swift movement; one revolution
6536	вымучить	extort, force, squeeze out
6537	обрезать	cut off, clip, pare, trim, prune, square, cut, snub, cut short
6538	попытать	
6539	грести	row, pull, scull, paddle, rake
6540	махание	
6541	прохлаждать	
6542	сталь	steel
6543	ржавый	rusty
6544	блаженная	
6545	отбрасывать	throw off, cast away, hurl back, throw back, thrust back, give up, reject, discard
6546	оттягивать	draw off, delay, procrastinate
6547	тряпка	rag, duster, floor-cloth, clothes, finery, milksop, softy, spineless creature
6548	кувшинчик	
6549	козявка	small insect, small fry
6550	приготавливаться	
6551	тюрька	
6552	щекотать	tickle
6553	полдник	snack
6554	курящий	smoker
6555	смахнуть	whisk, flap, brush, flick away, look like, resemble, smack
6556	космы	mane, dishevelled locks, matted hair
6557	побрякивать	rattle
6558	лопушистый	
6559	опушка	trimming, edging
6560	подгонять	drive on, urge on, hurry, adjust, fit
6561	пазуха	bosom, sinus, axil
6562	портки	pants
6563	травинка	blade
6564	взлезать	climb up
6565	доделать	finish, complete
6566	термин	term
6567	отдуваться	pant, blow, puff, be answerable, take the rap
6568	веять	winnow, blow, wave, flutter, fly
6569	загреметь	begin to thunder, crash down, come crashing down
6570	повесить	hang up, hang
6571	заботливый	careful, thoughtful, considerate, solicitous
6572	соображаться	
6573	игрушечка	
6574	мириться	to make peace with; to accept, put up with, reconcile oneself, resign oneself
6575	дешево	cheap, cheaply
6576	проливный	
6577	людская	
6578	варить	cook sth boiling, brew; found metal, weld
6579	петух	cock, rooster
6580	картошка	potatoes
6581	заминаться	
6582	реветь	roar, bellow, howl
6583	гладильный	ironing
6584	приказчица	
6585	произвольно	at will, arbitrarily
6586	обернуть	wrap up, wind round, wrap round, turn
6587	комод	chest of drawers, locker, tallboy
6588	единственно	only, solely
6589	заблуждаться	err, be mistaken
6590	вольнодумство	free-thinking
6591	одобрение	approval
6592	пришить	sew, nail on, pin on
6593	пуговка	small button
6594	ворона	crow, gawk, gaper, loafer
6595	причесываться	have a hair-do
6596	платьице	
6597	причаститься	
6598	смирна	
6599	свистать	whistle, sing, pipe, whine
6600	вглядеться	peer
6601	отмахиваться	brush aside
6602	чулочек	
6603	беленький	white
6604	рожать	give birth, bear
6605	выкупать	redeem, ransom
6606	липовый	sham, faked, forged
6607	перекусывать	to have a snack
6608	неудобно	it is inconvenient, uncomfortably
6609	ограниченный	limited, scanty, narrow, hidebound
6610	дружелюбие	friendliness, amicability
6611	корма	stern, poop
6612	делание	
6613	кухня	kitchen, cook-house, galley, cooking, cuisine, machinations
6614	беспомощный	helpless, feeble, impotent, effete
6615	похоронить	bury, inter, hide, conceal, lay away
6616	ущерб	damage, loss, detriment, prejudice
6617	мячик	ball
6618	зверский	brutal, bestial, atrocious, savage, terrific, tremendous
6619	препятствовать	prevent, hinder, put obstacles in the way, impede
6620	нововведение	innovation
6621	противодействие	opposition, counteraction
6622	побояться	be afraid, not venture, not dare
6623	дележ	sharing, division, partition, distribution
6624	братнин	
6625	улечься	settle (in bed)
6626	делить	divide; share
6627	растрясти	strew, jolt, squander
6628	отава	aftermath, after-grass
6629	слева	to the left
6630	навивать	
6631	тележный	
6632	погнать	chase, herd, drive, begin to drive
6633	копнуть	dig
6634	разравнивать	make even, level
6635	охапка	armful
6636	занавеска	curtain
6637	отряхнуть	
6638	засыпаться	get buried, be caught red-handed, be nabbed, get into a scrape, a mess, come to grief, fail, plough
6639	сбиться	Lose count; Lose track, off track
6640	цеплять	to hitch up
6641	надвигаться	approach, draw near, impend, be imminent
6642	вскрик	
6643	присвист	whistle, sibilance
6644	одиночество	solitude, loneliness
6645	телесный	corporal, of the body, corporeal
6646	разобраться	figure it out
6647	зареять	
6648	фыркать	snort, sniff, chuckle, grouse
6649	перечувствовать	feel, experience
6650	крестьянка	peasant woman
6651	барашковый	lambskin
6652	облачко	cloudlet
6653	рассвет	dawn, daybreak
6654	тьма	dark, darkness, ten thousand, thousands, a multitude, a host
6655	дышловый	
6656	видение	vision, sight, apparition, phantom
6657	бубенчик	bell, cymbal
6658	недосягаемый	inaccessible, unattainable
6659	вышина	height
6660	отнюдь	by no means, not at all
6661	мертвенность	
6662	обязывать	bind, make it incumbent, oblige
6663	отряхнуться	
6664	карибан	
6665	паскудин	
6666	дельный	efficient, business-like, sensible
6667	юность	youth, young people
6668	примеривать	
6669	немыслимый	unthinkable, inconceivable, impossible
6670	уступать	let have, cede, yield, give in, give way, concede, be inferior, abate, take off
6671	клевета	slander, calumny, aspersion, libel
6672	достигаться	
6673	нежелание	unwillingness, reluctance, disinclination
6674	зябкий	sensitive to cold, chilly
6675	отвергать	reject, turn down, repudiate, vote down
6676	переживать	be upset, worry; suffer, experience, go through, live through
6677	совпадать	coincide, concur; match
6678	вправе	
6679	каприз	whim, caprice
6680	предположить	suppose, conjecture, surmise, assume, intend, propose, contemplate, presuppose
6681	дачный	Adjective of дача
6682	нагло	
6683	капитальный	capital
6684	установить	install, place, mount, rig up, set, establish, determine, fix, ascertain
6685	стойка	bar, counter, post, pole, upright, stanchion, prop, set, handstand
6686	характерный	typical, characteristic, distinctive, character
6687	сокращение	shortening, abridgement, cutting down, curtailment, reduction, cut-back; abbreviation
6688	предшественник	predecessor, forerunner, precursor
6689	непроизводительный	unproductive, wasteful
6690	инструмент	instrument, tool, tools, implement
6691	поднятие	raising, rise, rising
6692	цветущий	blooming, blossoming, flowering, very healthy
6693	исследовать	investigate, explore, examine
6694	органический	organic
6695	ст	
6696	конспект	synopsis, notes, abstract
6697	вознаградить	reward, recompense, make up, compensate
6698	разлиться	spill, overflow, spread, pour out song
6699	перестанавливать	
6700	содрогаться	shudder
6701	оживляться	become animated, liven up, be bucked up
6702	провиниться	commit an offence, be guilty, be at fault
6703	персик	peach
6704	угольный	coal, corner
6705	скушать	eat, have, take
6706	напоминание	mention, reminder
6707	преувеличить	exaggerate, overstate
6708	держава	state, power, orb
6709	охладеть	grow cold, grow cool, lose interest
6710	венок	garland, wreath
6711	проступок	fault, delinquency, misdemeanour
6712	грозовой	Adjective of гроза
6713	отмыть	wash clean
6714	безжалостный	pitiless, merciless, ruthless
6715	переписать	to rewrite, to retype; to copy
6716	стук	knock, tap, noise
